Address,City,Pin Code,Country ,Contact,website,sector,industry,employee,ceo,chairman & MD,director,description
Adani Corporate House Shantigram S G Highway ,Ahmedabad ,382421,India,91 79 2656 5555,http://www.adaniports.com,Industrials,Marine Shipping,"2,300",Mr. Karan G. Adani,Mr. Gautambhai Shantilal Adani,Mr. Deepak  Maheshwari
"Asian Paints House 6A, Shantinagar Santacruz",East Mumbai,400055,India,91 22 6218 1000,http://www.asianpaints.com,Basic Materials,Specialty Chemicals,"7,500",Mr. Kanwar Bir Singh Anand MD,Mr. Kanwar Bir Singh Anand MD,Mr. Kanwar Bir Singh Anand MD,
"Axis House C-2, Wadia International Centre Pandurang Budhkar Marg Worli",Mumbai,400025,India,91 22 2425 2525,http://www.axisbank.com,Financial Services,Banks Regional,"61,940",Mr. Amitabh  Chaudhry,Mr. Amitabh  Chaudhry,Mr. Amitabh  Chaudhry,
Bajaj Auto Ltd. Complex Mumbai-Pune Road Akurdi,Pune,411035,India,91 20 2747 2851,http://www.bajajauto.com,Consumer Cyclical,Auto Manufacturers,"10,171",Mr. Rajivnayan Rahulkumar Bajaj,Mr. Rahul Kumar Kamalnayan,Mr. Rajivnayan Rahulkumar Bajaj,
Bajaj Finserv Corporate Office4th Floor Off Pune - Ahmednagar Road Viman Nagar,Pune,411014,India,91 20 3957 5152,http://www.bajajfinserv.in,Financial Services,Credit Services,"20,163",,Mr. Rajeev A. Jain,Mr. Rajeev A. Jain,
Bajaj Finserv Corporate Office4th Floor Off Pune - Ahmednagar Road Viman Nagar,Pune,411014,India,91 20 3957 5152,http://www.bajajfinserv.in,Financial Services,Insurance Diversified,"20,163",,Mr. Sanjivnayan Rahulkumar,Mr. Sanjivnayan Rahulkumar,
Bharat Bhavan4 & 6 Currimbhoy Road Ballard Estate PB No. 688 ,Mumbai,400001,India,91 22 2271 3000,http://www.bharatpetroleum.com,Energy  Oil & Gas,Refining & Marketing,,,Mr. D.  Rajkumar,Mr. Neelakantapillai  Vijayagopal,
"Bharti Crescent1, Nelson Mandela Road Vasant Kunj Phase - II",New Delhi,110070,India,91 11 4666 6100,http://www.airtel.in,Communication Services,Telecom Services,"19,233",Mr. Gopal  Vittal,Mr. Gopal  Vittal,Mr. Sunil Bharti Mittal,
"Bharti Crescent1, Nelson Mandela Road Vasant Kunj Phase - II",New Delhi,110070,India,91 11 4666 6100,http://www.bharti-infratel.com,Communication Services,Telecom Services,"2,233",Mr. Devender Singh Rawat,Mr. Akhil Kumar Gupta,Mr. Devender Singh Rawat,
"The Business Precinct, Tower C16th & 17th Floor Prestige Shantiniketan Whitefield Main Road, Mahadevapura",Bengaluru,560048,India,91 80 3768 7100,http://www.britannia.co.in,Consumer Defensive,Packaged Foods,,,Mr. Varun  Berry,Mr. Varun  Berry,
Cipla HousePeninsula Business Park Ganpatrao Kadam Marg Lower Parel,Mumbai,400013,India,91 22 2482 6000,http://www.cipla.com,Healthcare,Drug Manufacturers General,"26,719",Mr. Umang  Vohra,Mr. Umang  Vohra,Mr. Umang  Vohra,
"Coal BhawanPremise No-04 MAR Plot No-AF-III, Action Area-1A Newtown, Rajarhat ",Kolkata,700156,India,91 33 2324 5555,http://www.coalindia.in,Energy,Thermal Coal,"2,85,479",Mr. Anil Kumar Jha,Mr. Pramod Agrarval,Mr. Binay  Dayal Technical,
"8-2-337, Road No. 3 Banjara Hills",Hyderabad,500034,India,91 40 4900 2900,http://www.drreddys.com,Healthcare,Drug Manufacturers Specialty & Generic,"21,966",Mr. Erez Israeli,Mr. Gunupati Venkateswara Prasad,,
